hhid,group_id,hhnomembers,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
73,35,5,0,30,10,1,0,0,2,3,0,0,0,0,1,0
86,3,4,1,55,10,1,0,0,4,0,0,0,0,1,0,0
179,4,5,1,51,8,1,0,0,5,0,0,0,0,0,0,1
192,76,2,1,57,12,1,0,0,2,0,0,0,0,1,0,0
261,14,7,1,46,19,1,0,1,4,3,0,0,0,0,0,1
268,96,5,1,48,0,0,1,0,5,0,0,0,0,0,1,0
294,14,2,1,75,19,1,0,1,2,0,0,1,0,1,0,0
353,13,5,1,48,16,1,0,1,4,1,0,0,0,1,0,0
500,134,6,0,60,0,0,1,0,3,3,0,0,0,1,0,0
554,122,5,1,58,10,1,0,0,4,1,0,0,0,1,0,0
952,96,5,0,38,14,1,0,0,4,1,0,0,0,0,1,0
1129,57,3,1,36,12,1,0,0,3,0,0,0,0,1,0,0
1153,3,3,1,60,0,0,1,0,3,0,0,0,0,0,0,1
1214,3,2,1,86,0,0,1,0,2,0,0,0,0,0,1,0
1288,101,4,1,44,14,1,0,0,2,2,0,0,0,1,0,0
1392,83,5,1,41,10,1,0,0,2,3,0,0,0,0,1,0
1449,77,4,0,70,0,0,1,0,4,0,0,0,0,0,0,1
1602,124,5,1,60,12,1,0,0,5,0,0,0,0,1,0,0
1656,63,4,1,38,10,1,0,0,2,2,0,0,0,0,1,0
1672,83,5,1,45,7,1,0,0,3,2,1,0,0,1,0,0
1778,128,4,0,42,10,1,0,0,3,1,0,0,0,0,1,0
1908,16,4,0,60,0,0,1,0,3,1,0,0,0,1,0,0
1969,2,7,1,54,11,1,0,0,5,2,0,0,0,1,0,0
1985,137,3,0,44,19,1,0,1,2,1,0,0,0,1,0,0
2002,101,3,0,32,7,0,0,0,2,1,0,0,0,1,0,0
2010,16,7,1,42,11,1,0,0,5,2,0,0,0,1,0,0
