"","hhid","group_id","hhnomembers","gender_hoh","age_hoh","educyears_hoh","readwrite_hoh","noclasspassed_hoh","higheduc_hoh","hhnomembers_above18","hhnomembers_below18","hhreg_muslim","hhreg_christian","hhcaste_fc","hhcaste_bc","hhcaste_mbc","hhcaste_sc_st","totformalborrow_24","totinformalborrow_24","hhinc","survey_round","new_totformbor_24","newtotinformbor_24","new_hhinc","new_totbor_24","pair_id","treated","bpl","missing_status","new_log_hhinc","new_hhinc_quartile"
"1","100003","149",4,"1",45,12,"1","0",0,3,1,"0","0","0","1","0","0","33000","56500","7200","Endline II",33000,56500,7200,89500,"40","1","0",0,8.88183630500415,"III"
"2","100005","149",3,"1",70,0,"0","1",0,3,0,"0","0","0","1","0","0","None","28000","1000","Endline II",0,28000,1000,28000,"40","1","1",0,6.90775527898214,"I"
"3","100039","150",4,"1",45,0,"0","1",0,3,1,"0","0","0","1","0","0","200000","81000","12800","Endline II",2e+05,81000,12800,281000,"40","0","0",0,9.45720044990771,"IV"
"4","100068","150",4,"1",39,11,"1","0",0,2,2,"0","0","0","1","0","0","290000","112000","5000","Endline II",290000,112000,5000,402000,"40","0","0",0,8.51719319141624,"II"
"5","100075","150",3,"1",48,0,"0","1",0,3,0,"0","0","0","1","0","0","16000","28000","10000","Endline II",16000,28000,10000,44000,"40","0","0",0,9.21034037197618,"III"
"6","100086","150",7,"1",80,0,"0","1",0,4,3,"0","0","0","1","0","0","150000","58000","8000","Endline II",150000,58000,8000,208000,"40","0","0",0,8.98719682066197,"III"
"7","100091","149",5,"1",57,7,"1","0",0,4,1,"0","0","0","0","0","1","68000","35000","11500","Endline II",68000,35000,11500,103000,"40","1","0",0,9.35010231435134,"IV"
"8","100098","149",1,"0",70,0,"0","1",0,1,0,"0","0","0","0","0","1","None","2500","1500","Endline II",0,2500,1500,2500,"40","1","0",0,7.3132203870903,"I"
"9","100099","149",2,"1",88,12,"1","0",0,2,0,"0","0","0","0","0","1","None","None","1000","Endline II",0,0,1000,0,"40","1","1",0,6.90775527898214,"I"
"10","100101","149",6,"1",44,10,"0","0",0,3,3,"0","0","0","0","0","1","65000","40000","4500","Endline II",65000,40000,4500,105000,"40","1","1",0,8.41183267575841,"II"
"11","100109","149",4,"0",28,10,"1","0",0,2,2,"0","0","0","0","0","1","65500","30100","3000","Endline II",65500,30100,3000,95600,"40","1","1",0,8.00636756765025,"II"
"12","100120","149",7,"1",56,10,"1","0",0,5,2,"0","0","0","1","0","0","52000","27000","8100","Endline II",52000,27000,8100,79000,"40","1","0",0,8.99961934066053,"III"
"13","10014","122",1,"0",61,0,"0","1",0,1,0,"0","0","0","1","0","0","None","None","200","Endline I",0,0,200,0,"17","0","1",0,5.29831736654804,"I"
"14","100157","149",4,"1",37,9,"1","0",0,4,0,"0","0","0","0","0","1","None","35000","7000","Endline II",0,35000,7000,35000,"40","1","0",0,8.85366542803745,"III"
"15","100171","149",6,"1",50,7,"1","0",0,4,2,"0","0","0","0","0","1","None","35000","9900","Endline II",0,35000,9900,35000,"40","1","0",0,9.20029003612268,"III"
"16","100174","150",6,"1",61,0,"0","1",0,5,1,"0","0","0","0","0","1","None","35000","3000","Endline II",0,35000,3000,35000,"40","0","1",0,8.00636756765025,"II"
"17","100175","149",5,"1",52,7,"0","0",0,3,2,"0","0","0","0","0","1","13000","None","1300","Endline II",13000,0,1300,13000,"40","1","1",0,7.17011954344963,"I"
"18","100177","149",6,"1",45,0,"0","1",0,5,1,"0","0","0","0","0","1","55000","5500","5300","Endline II",55000,5500,5300,60500,"40","1","0",0,8.57546209954021,"II"
"19","100182","150",6,"1",22,7,"1","0",0,4,2,"0","0","0","0","0","1","20000","3000","7000","Endline II",20000,3000,7000,23000,"40","0","0",0,8.85366542803745,"III"
"20","100183","149",2,"0",49,0,"0","1",0,2,0,"0","0","0","0","0","1","13000","8000","2140","Endline II",13000,8000,2140,21000,"40","1","0",0,7.6685611080159,"I"
"21","100187","149",3,"1",44,0,"0","1",0,2,1,"0","0","0","0","0","1","10000","None","1200","Endline II",10000,0,1200,10000,"40","1","1",0,7.09007683577609,"I"
"22","100193","150",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"176000","None","3500","Endline II",176000,0,3500,176000,"40","0","0",2,8.1605182474775,"II"
"23","100198","150",6,"1",57,0,"0","1",0,5,1,"0","0","0","1","0","0","50000","210000","None","Endline II",50000,210000,0,260000,"40","0","1",0,-Inf,"I"
"24","100204","150",2,"1",71,11,"1","0",0,2,0,"0","0","0","1","0","0","5000","None","6000","Endline II",5000,0,6000,5000,"40","0","0",0,8.69951474821019,"III"
"25","100208","149",12,"1",59,12,"1","0",0,10,2,"0","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"26","100221","149",4,"1",43,18,"1","0",1,3,1,"0","0","0","1","0","0","393000","None","None","Endline II",393000,0,0,393000,"40","1","1",0,-Inf,"I"
"27","100269","149",3,"1",67,12,"1","0",0,3,0,"0","0","0","1","0","0","140000","None","35000","Endline II",140000,0,35000,140000,"40","1","0",0,10.4631033404715,"IV"
"28","100279","149",2,"1",50,7,"0","0",0,2,0,"0","0","0","0","0","1","27000","27000","4500","Endline II",27000,27000,4500,54000,"40","1","0",0,8.41183267575841,"II"
"29","100280","149",4,"1",41,10,"1","0",0,2,2,"0","0","0","0","0","1","82000","20000","7500","Endline II",82000,20000,7500,102000,"40","1","0",0,8.9226582995244,"III"
"30","100294","149",2,"1",54,7,"1","0",0,2,0,"0","0","0","1","0","0","295000","None","23500","Endline II",295000,0,23500,295000,"40","1","0",0,10.0647557001323,"IV"
"31","100299","150",2,"0",46,0,"0","1",0,1,1,"0","0","0","1","0","0","20000","None","22000","Endline II",20000,0,22000,20000,"40","0","0",0,9.99879773234045,"IV"
"32","100305","150",5,"1",38,7,"1","0",0,2,3,"0","0","0","0","0","1","16000","26800","None","Endline II",16000,26800,0,42800,"40","0","1",0,-Inf,"I"
"33","100314","150",3,"0",28,12,"1","0",0,1,2,"0","0","0","1","0","0","466000","None","25000","Endline II",446860.945539615,0,25000,446860.945539615,"40","0","0",0,10.1266311038503,"IV"
"34","100329","149",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100000","90000","7000","Endline II",1e+05,90000,7000,190000,"40","1","0",2,8.85366542803745,"III"
"35","100427","152",6,"1",73,0,"0","1",0,4,2,"0","0","0","1","0","0","87000","None","3800","Endline III",87000,0,3800,87000,"36","1","1",0,8.24275634571448,"II"
"36","100445","150",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","None","6000","Endline II",0,0,6000,0,"40","0","0",2,8.69951474821019,"III"
"37","100455","150",5,"1",37,12,"1","0",0,2,3,"0","0","0","1","0","0","125000","15000","7000","Endline II",125000,15000,7000,140000,"40","0","0",0,8.85366542803745,"III"
"38","100458","151",1,"0",70,0,"0","1",0,1,0,"0","0","0","1","0","0","None","None","1000","Endline II",0,0,1000,0,"40","0","0",0,6.90775527898214,"I"
"39","100461","151",8,"1",41,10,"1","0",0,3,5,"0","0","0","1","0","0","None","2000","7850","Endline II",0,2000,7850,2000,"40","0","0",0,8.96826881077645,"III"
"40","100486","150",12,"1",54,0,"0","1",0,9,3,"0","0","0","1","0","0","133000","120000","9150","Endline II",133000,120000,9150,253000,"40","0","1",0,9.12150915826957,"III"
"41","100490","149",4,"1",52,12,"1","0",0,4,0,"0","0","0","1","0","0","740000","500000","24000","Endline II",446860.945539615,295350.108393436,24000,742211.053933051,"40","1","0",0,10.0858091093301,"IV"
"42","100507","149",4,"0",26,12,"1","0",0,2,2,"0","0","0","1","0","0","35000","None","6580","Endline II",35000,0,6580,35000,"40","1","0",0,8.79179002431936,"III"
"43","100511","150",5,"1",40,7,"1","0",0,3,2,"0","0","0","1","0","0","41000","50000","19000","Endline II",41000,50000,19000,91000,"40","0","0",0,9.85219425814858,"IV"
"44","100512","150",4,"1",32,7,"0","0",0,3,1,"0","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"45","100515","150",6,"1",32,8,"1","0",0,4,2,"0","0","0","1","0","0","None","150000","5775","Endline II",0,150000,5775,150000,"40","0","0",0,8.66129353538999,"II"
"46","100524","150",4,"1",34,10,"1","0",0,2,2,"0","0","0","1","0","0","206000","52000","21000","Endline II",206000,52000,21000,258000,"40","0","0",0,9.95227771670556,"IV"
"47","100527","149",4,"0",60,0,"0","1",0,3,1,"0","0","0","1","0","0","None","60000","2500","Endline II",0,60000,2500,60000,"40","1","1",0,7.82404601085629,"I"
"48","10053","96",4,"0",65,0,"0","1",0,4,0,"0","0","0","0","1","0","None","None","5000","Endline II",0,0,5000,0,"14","0","0",0,8.51719319141624,"II"
"49","100538","149",6,"1",49,11,"1","0",0,5,1,"0","0","0","1","0","0","181000","None","5000","Endline II",181000,0,5000,181000,"40","1","0",0,8.51719319141624,"II"
"50","100553","150",4,"1",63,0,"0","1",0,4,0,"0","0","0","1","0","0","None","36000","10250","Endline II",0,36000,10250,36000,"40","0","0",0,9.23503298456655,"III"
"51","100554","149",7,"1",60,18,"1","0",1,7,0,"0","0","0","1","0","0","250000","None","1000","Endline II",250000,0,1000,250000,"40","1","1",0,6.90775527898214,"I"
"52","100555","150",3,"1",29,0,"1","1",0,3,0,"0","0","0","1","0","0","141000","None","5600","Endline II",141000,0,5600,141000,"40","0","0",0,8.63052187672324,"II"
"53","100562","149",6,"1",34,7,"0","0",0,2,4,"0","0","0","1","0","0","360500","None","11500","Endline II",360500,0,11500,360500,"40","1","0",0,9.35010231435134,"IV"
"54","100567","150",4,"0",39,12,"1","0",0,4,0,"0","0","0","1","0","0","65000","6000","16000","Endline II",65000,6000,16000,71000,"40","0","0",0,9.68034400122192,"IV"
"55","100571","150",5,"1",52,7,"1","0",0,2,3,"0","0","0","1","0","0","100000","None","2000","Endline II",1e+05,0,2000,1e+05,"40","0","1",0,7.60090245954208,"I"
"56","100590","150",4,"1",29,12,"0","0",0,2,1,"0","0","0","1","0","0","25000","None","15500","Endline II",25000,0,15500,25000,"40","0","0",0,9.64859530290734,"IV"
"57","100597","150",5,"1",44,0,"0","1",0,2,2,"0","0","0","0","0","1","None","28500","4500","Endline II",0,28500,4500,28500,"40","0","0",0,8.41183267575841,"II"
"58","100598","150",4,"1",41,7,"0","0",0,2,2,"0","0","0","1","0","0","261400","None","26500","Endline II",261400,0,26500,261400,"40","0","0",0,10.1849000119743,"IV"
"59","100611","149",5,"1",35,7,"0","0",0,3,2,"0","0","0","1","0","0","75000","45000","4200","Endline II",75000,45000,4200,120000,"40","1","0",0,8.34283980427146,"II"
"60","100629","150",3,"1",33,11,"1","0",0,3,0,"1","0","0","1","0","0","95000","None","9000","Endline II",95000,0,9000,95000,"40","0","0",0,9.10497985631836,"III"
"61","100636","150",4,"1",46,7,"0","0",0,4,0,"0","0","0","1","0","0","188000","235000","50500","Endline II",188000,235000,50500,423000,"40","0","0",0,10.8297286152635,"IV"
"62","100638","151",6,"1",75,0,"0","1",0,4,2,"0","0","0","0","0","1","None","85000","450","Endline II",0,85000,450,85000,"40","0","1",0,6.10924758276437,"I"
"63","100639","149",5,"1",60,0,"0","1",0,4,1,"0","0","0","1","0","0","5000","14000","6000","Endline II",5000,14000,6000,19000,"40","1","0",0,8.69951474821019,"III"
"64","100643","151",5,"1",54,14,"1","0",0,4,1,"0","0","0","0","0","1","60000","60000","41550","Endline II",60000,60000,41550,120000,"40","0","0",0,10.6346528002836,"IV"
"65","100644","150",4,"1",32,8,"0","0",0,2,2,"0","0","0","1","0","0","355000","100000","8000","Endline II",355000,1e+05,8000,455000,"40","0","0",0,8.98719682066197,"III"
"66","100650","151",6,"1",47,8,"1","0",0,5,1,"0","0","0","0","0","1","13000","50000","6800","Endline II",13000,50000,6800,63000,"40","0","0",0,8.8246778911642,"III"
"67","100673","150",5,"1",35,9,"1","0",0,2,3,"0","0","0","0","0","1","7000","26000","10000","Endline II",7000,26000,10000,33000,"40","0","0",0,9.21034037197618,"III"
"68","100679","151",6,"1",37,9,"1","0",0,2,4,"0","0","0","1","0","0","450000","50000","35000","Endline II",446860.945539615,50000,35000,496860.945539615,"40","0","0",0,10.4631033404715,"IV"
"69","100699","151",5,"1",48,7,"1","0",0,4,1,"0","0","0","1","0","0","101000","329000","19000","Endline II",101000,295350.108393436,19000,396350.108393436,"40","0","0",0,9.85219425814858,"IV"
"70","100701","151",3,"0",40,7,"0","0",0,3,0,"0","0","0","1","0","0","75000","10000","21000","Endline II",75000,10000,21000,85000,"40","0","0",0,9.95227771670556,"IV"
"71","100706","151",7,"1",54,7,"1","0",0,5,1,"0","0","0","1","0","0","15000","110000","10000","Endline II",15000,110000,10000,125000,"40","0","0",0,9.21034037197618,"III"
"72","100712","151",3,"1",55,7,"1","0",0,3,1,"0","0","0","1","0","0","None","72000","10500","Endline II",0,72000,10500,72000,"40","0","0",0,9.25913053614561,"III"
"73","100716","151",4,"1",47,10,"1","0",0,3,1,"0","0","0","1","0","0","444000","20000","13000","Endline II",444000,20000,13000,464000,"40","0","0",0,9.47270463644367,"IV"
"74","100729","151",6,"1",50,7,"0","0",0,5,1,"0","0","0","0","0","1","45000","163000","10000","Endline II",45000,163000,10000,208000,"40","0","0",0,9.21034037197618,"III"
"75","100732","151",5,"0",36,0,"0","1",0,4,1,"0","0","0","0","0","1","None","10000","8600","Endline II",0,10000,8600,10000,"40","0","0",0,9.0595174822416,"III"
"76","100740","150",1,"0",55,0,"0","1",0,1,0,"0","0","0","1","0","0","None","10000","1000","Endline II",0,10000,1000,10000,"40","0","0",0,6.90775527898214,"I"
"77","100741","151",6,"1",49,7,"0","0",0,6,0,"0","0","0","1","0","0","160000","60000","11000","Endline II",160000,60000,11000,220000,"40","0","0",0,9.30565055178051,"IV"
"78","100752","151",2,"1",73,7,"1","0",0,2,0,"0","0","0","1","0","0","None","None","None","Endline II",0,0,0,0,"40","0","1",0,-Inf,"I"
"79","100808","150",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52000","10000","4750","Endline II",52000,10000,4750,62000,"40","0","0",2,8.46589989702869,"II"
